tissue,density_kg_m3,speed_of_sound_m_s,attenuation_dB_cm_MHz,acoustic_impedance_MRayl
air,1.2,330,12.0,0.0
water,1000.0,1480,0.002,1.48
blood,1060.0,1570,0.2,1.664
fat,920.0,1450,0.6,1.334
liver,1060.0,1550,0.5,1.643
kidney,1050.0,1560,0.9,1.638
spleen,1060.0,1570,0.5,1.664
muscle,1050.0,1580,1.0,1.659
bone_cortical,1900.0,3500,10.0,6.65
bone_trabecular,1100.0,1800,5.0,1.98
cartilage,1100.0,1660,1.0,1.826
tendon,1100.0,1750,1.2,1.925
skin,1100.0,1600,1.5,1.76
breast_fat,930.0,1460,0.75,1.358
breast_gland,1020.0,1510,1.0,1.54
thyroid,1050.0,1575,0.8,1.654
prostate,1040.0,1560,0.8,1.622
lung_inflated,400.0,600,8.0,0.24
amniotic_fluid,1000.0,1510,0.005,1.51
vitreous_humor,1000.0,1520,0.1,1.52
lens,1100.0,1620,1.5,1.782
gallstone,1800.0,2500,4.0,4.5
kidney_stone,2000.0,3000,6.0,6.0
soft_tissue_avg,1050.0,1540,0.7,1.617
